Run,Host,geo_loc_name_country
SRR7851380,Cattle,France
SRR7851381,Cattle,France
SRR7851382,Cattle,France
SRR7693877,Llama,Brazil
SRR6467885,Cattle,Canada
SRR6467887,Cattle,Canada
SRR6467889,Cattle,Canada
SRR6467891,Cervid,Canada
SRR6467893,Cattle,Canada
SRR10482932,Cattle,Ireland
SRR10482933,Cattle,Ireland
SRR10482934,Cattle,Ireland
SRR10482935,Cattle,Ireland
SRR10482936,Cattle,Ireland
SRR10482937,Cervid,Ireland
SRR10482938,Cervid,Ireland
SRR10482939,Cervid,Ireland
SRR10482940,Cervid,Ireland
SRR10482941,Cattle,Ireland
SRR10482942,Cervid,Ireland
SRR10482943,Cattle,Ireland
SRR10482944,Badger,Ireland
SRR10482945,Cattle,Ireland
SRR10482946,Cervid,Ireland
SRR10482947,Cattle,Ireland
SRR10482948,Cattle,Ireland
SRR10482949,Cattle,Ireland
SRR10482950,Cattle,Ireland
SRR10482951,Cattle,Ireland
SRR10482952,Cervid,Ireland
SRR10482953,Cervid,Ireland
SRR10482954,Cattle,Ireland
SRR10482955,Cervid,Ireland
SRR10482956,Cattle,Ireland
SRR10482957,Cattle,Ireland
SRR10482958,Cattle,Ireland
SRR10482959,Cattle,Ireland
SRR10482960,Cattle,Ireland
SRR10482961,Cervid,Ireland
SRR10482962,Cattle,Ireland
SRR10482963,Cattle,Ireland
SRR10482964,Cervid,Ireland
SRR10482965,Cervid,Ireland
SRR10482966,Cervid,Ireland
SRR10482967,Cattle,Ireland
SRR10482968,Cattle,Ireland
SRR10482969,Cervid,Ireland
SRR10482970,Cattle,Ireland
SRR10482971,Cattle,Ireland
SRR10482972,Cervid,Ireland
SRR10482973,Cattle,Ireland
SRR10482974,Badger,Ireland
SRR10482975,Cattle,Ireland
SRR10482976,Cattle,Ireland
SRR6705904,Cattle,Brazil
SRR13268339,Canine,Ireland
SRR14508917,Elephant,USA
SRR18391639,Cattle,Spain
SRR18391640,Cattle,Spain
SRR18391641,Porcine,Spain
SRR18391642,Porcine,Spain
SRR18391644,Cattle,Spain
SRR18391645,Cattle,Spain
SRR18391646,Cervid,Spain
SRR18391647,Cattle,Spain
SRR18391648,Cattle,Spain
SRR18391649,Cattle,Spain
SRR18391651,Cattle,Spain
SRR18391653,Cattle,Spain
SRR18391654,Cattle,Spain
SRR18391655,Cattle,Spain
SRR18391656,Cattle,Spain
SRR18391658,Cattle,Spain
SRR18391659,Cattle,Spain
SRR18391660,Cattle,Spain
SRR18391662,Cattle,Spain
SRR18391663,Cattle,Spain
SRR18391664,Cattle,Spain
SRR18391666,Cattle,Spain
SRR18391667,Cervid,Spain
SRR18391668,Cattle,Spain
SRR18391669,Cervid,Spain
SRR18391670,Cervid,Spain
SRR18391671,Cervid,Spain
SRR18391672,Porcine,Spain
SRR18391673,Porcine,Spain
SRR18391674,Cattle,Spain
SRR18391675,Cervid,Spain
SRR18391676,Cattle,Spain
SRR18391677,Cervid,Spain
SRR18391679,Cattle,Spain
SRR18391680,Cattle,Spain
SRR18391681,Cattle,Spain
SRR18391682,Cattle,Spain
SRR18391683,Cattle,Spain
SRR18391684,Cattle,Spain
SRR18391686,Cattle,Spain
SRR18391687,Cattle,Spain
SRR18391688,Cattle,Spain
SRR18391689,Cattle,Spain
SRR18391690,Cattle,Spain
SRR18391691,Cattle,Spain
SRR18391692,Cattle,Spain
SRR18391693,Cattle,Spain
SRR18391695,Cervid,Spain
SRR18391696,Cervid,Spain
SRR18391697,Cattle,Spain
SRR18391698,Porcine,Spain
SRR18391699,Cattle,Spain
SRR18391700,Cattle,Spain
SRR18391701,Cattle,Spain
SRR18391702,Cattle,Spain
SRR18391703,Cattle,Spain
SRR18391704,Cattle,Spain
SRR18391705,Cattle,Spain
SRR18391706,Cattle,Spain
SRR18391707,Cattle,Spain
SRR18391708,Cattle,Spain
SRR18391709,Cattle,Spain
SRR18391710,Cattle,Spain
SRR18391711,Cattle,Spain
SRR18391712,Cattle,Spain
SRR18391713,Cattle,Spain
SRR18391715,Cattle,Spain
SRR18391716,Cattle,Spain
SRR18391717,Cattle,Spain
SRR18391718,Cattle,Spain
SRR18391719,Cattle,Spain
SRR18391720,Porcine,Spain
SRR18391721,Cattle,Spain
SRR18391723,Cervid,Spain
SRR18391725,Cattle,Spain
SRR18391726,Cervid,Spain
SRR18391727,Cattle,Spain
SRR18391728,Cattle,Spain
SRR18391729,Cattle,Spain
SRR18391730,Cervid,Spain
SRR18391731,Cattle,Spain
SRR18391732,Cattle,Spain
SRR18391734,Cattle,Spain
SRR18391735,Cattle,Spain
SRR18391736,Porcine,Spain
SRR18391737,Cattle,Spain
SRR18391738,Cattle,Spain
SRR18391739,Cattle,Spain
SRR18391740,Cattle,Spain
SRR18391741,Cattle,Spain
SRR18391742,Cattle,Spain
SRR18391743,Cattle,Spain
SRR18391744,Porcine,Spain
SRR18391746,Cattle,Spain
SRR18391747,Porcine,Spain
SRR18391749,Porcine,Spain
SRR18391751,Cattle,Spain
SRR18391752,Cattle,Spain
SRR18391753,Cattle,Spain
SRR18391754,Cattle,Spain
SRR18391755,Cattle,Spain
SRR18391757,Cattle,Spain
SRR18391759,Porcine,Spain
SRR18391760,Porcine,Spain
SRR18391761,Cattle,Spain
SRR18391762,Porcine,Spain
SRR18391763,Cattle,Spain
SRR18391764,Porcine,Spain
SRR18391765,Porcine,Spain
SRR18391767,Cattle,Spain
